Designator,Mid X,Mid Y,Rotation,Layer
C1,124.1445,-61.280963,180.0,top
C10,112.8315,-62.1,270.0,top
C11,113.8615,-62.1,270.0,top
C12,115.5015,-55.87,0.0,top
C13,119.3265,-55.49,0.0,top
C14,120.2415,-61.92,270.0,top
C15,121.7915,-71.5,180.0,bottom
C16,112.8315,-65.48,90.0,bottom
C17,111.3065,-68.497,0.0,bottom
C18,116.2665,-77.07,180.0,bottom
C19,121.7815,-74.36,90.0,bottom
C2,124.1445,-63.871563,180.0,top
C20,116.8815,-74.21,270.0,bottom
C21,110.9435,-76.198,270.0,bottom
C22,112.7115,-72.09,180.0,bottom
C23,116.8815,-72.32,270.0,bottom
C24,121.2915,-62.09,90.0,top
C25,108.964425,-60.34,270.0,top
C26,109.7045,-57.164,0.0,bottom
C27,114.6515,-62.54,0.0,bottom
C28,108.96321,-67.833269,270.0,top
C29,109.703285,-64.65727,0.0,bottom
C3,124.1547,-66.476363,180.0,top
C30,113.1815,-62.63,90.0,bottom
C31,108.9615,-75.315221,270.0,top
C32,109.701575,-72.139222,0.0,bottom
C33,112.6015,-67.25,0.0,bottom
C4,124.1013,-69.053163,180.0,top
C5,124.0645,-71.557,180.0,top
C6,117.1915,-62.1,90.0,bottom
C7,112.5615,-64.04,0.0,bottom
C8,121.3415,-62.505,180.0,bottom
C9,122.4615,-69.99,90.0,bottom
D1,112.5015,-63.81,180.0,top
D10,103.721285,-68.407769,270.0,bottom
D11,110.543075,-74.564221,180.0,bottom
D12,106.0515,-76.581721,90.0,top
D13,103.719575,-75.889721,270.0,bottom
D2,122.3315,-72.72,180.0,bottom
D3,115.8815,-75.9,0.0,bottom
D4,110.22625,-77.115,0.0,top
D5,110.546,-59.589,180.0,bottom
D6,106.054425,-61.6065,90.0,top
D7,103.7225,-60.9145,270.0,bottom
D8,110.544785,-67.082269,180.0,bottom
D9,106.05321,-69.099769,90.0,top
FID1,120.2615,-60.91,0.0,bottom
FID2,91.1815,-61.36,0.0,top
FID3,91.1915,-76.3,0.0,bottom
FID4,91.2015,-76.29,0.0,top
FID5,91.1715,-61.38,0.0,bottom
FID6,121.0815,-60.01,0.0,top
L1,113.3945,-58.7535,270.0,top
LED1,119.9215,-64.32,270.0,top
Q1,104.7385,-57.861,0.0,top
Q2,96.7725,-58.817,90.0,top
Q3,104.737285,-65.35427,0.0,top
Q4,96.771285,-66.31027,90.0,top
Q5,104.735575,-72.836222,0.0,top
Q6,96.769575,-73.792222,90.0,top
R1,108.3115,-63.0,180.0,bottom
R10,112.648676,-77.192647,180.0,top
R11,109.4315,-69.75,180.0,top
R12,109.9915,-71.261,270.0,top
R13,119.6615,-68.3,180.0,top
R14,120.1915,-69.35,180.0,top
R15,120.0915,-66.2,180.0,top
R16,119.6715,-67.25,180.0,top
R17,110.6655,-58.443,180.0,bottom
R18,103.3515,-61.534779,180.0,top
R19,101.8415,-61.594779,90.0,top
R2,116.1315,-62.09,90.0,bottom
R20,101.9925,-59.282,90.0,bottom
R21,102.1125,-60.98,0.0,bottom
R22,102.1125,-62.032,0.0,bottom
R23,100.7915,-61.594,90.0,top
R24,110.0115,-60.36,90.0,top
R25,99.054425,-59.997279,180.0,bottom
R26,109.4615,-57.79,0.0,top
R27,109.4715,-58.834779,0.0,top
R28,110.664285,-65.93627,180.0,bottom
R29,103.350285,-69.028048,180.0,top
R3,115.7515,-60.58,180.0,bottom
R30,101.840285,-69.088048,90.0,top
R31,101.991285,-66.775269,90.0,bottom
R32,102.111285,-68.473269,0.0,bottom
R33,102.111285,-69.525269,0.0,bottom
R34,100.790285,-69.087269,90.0,top
R35,110.010285,-67.853269,90.0,top
R36,99.05321,-67.490548,180.0,bottom
R37,109.460285,-65.28327,0.0,top
R38,109.470285,-66.328048,0.0,top
R39,110.6235,-73.372,180.0,bottom
R4,118.1965,-62.08,0.0,top
R40,103.348575,-76.51,180.0,top
R41,101.838575,-76.57,90.0,top
R42,101.989575,-74.257221,90.0,bottom
R43,102.109575,-75.955221,0.0,bottom
R44,102.109575,-77.007221,0.0,bottom
R45,100.788575,-76.569221,90.0,top
R46,110.008575,-75.335221,90.0,top
R47,99.0515,-74.9725,180.0,bottom
R48,109.458575,-72.765222,0.0,top
R49,109.468575,-73.81,0.0,top
R5,114.9015,-62.12,270.0,top
R6,111.7915,-62.12,270.0,top
R7,111.6097,-55.86,0.0,top
R8,115.9515,-62.12,90.0,top
R9,113.5655,-55.8595,0.0,top
TH1,108.9365,-71.255,270.0,top
U1,117.6475,-67.21,90.0,bottom
U2,118.0705,-58.64,90.0,top
U3,113.3115,-74.685,270.0,bottom
U4,107.0425,-60.212,0.0,bottom
U5,107.041285,-67.705269,0.0,bottom
U6,107.039575,-75.187221,0.0,bottom
X1,119.3215,-74.3,180.0,bottom
